,name,empty_slots,free_bikes,slots,latitude,longitude
286,de Brébeuf / du Mont-Royal,5,16,23,45.52927839879717,-73.57792854309082
287,Drolet / Beaubien,12,11,23,45.533348,-73.605834
288,5e avenue / Rosemont,16,3,19,45.54990048023633,-73.58308374881744
289,Chabot / Beaubien,13,0,15,45.544375546398065,-73.59564453363419
290,Henri-Julien / de Bellechasse,17,2,19,45.5315079142152,-73.60308364033699
291,27e avenue / Rosemont,14,3,19,45.563709940264175,-73.57139468193054
292,Drolet / St-Zotique,16,3,19,45.53488214147823,-73.60941231250763
293,Fullum / Holt,20,7,27,45.54391953154915,-73.58424894533528
294,3e avenue / Holt,18,1,19,45.54800352985515,-73.58138993382454
295,de St-Vallier / St-Zotique,17,1,19,45.536434338630336,-73.60783427975548
296,Cartier / Dandurand,21,0,23,45.53923559055867,-73.58594566583633
297,Graham / Wicksteed,12,6,19,45.51693654712809,-73.64048302173615
298,Mozart / Waverly,14,1,15,45.5315236502754,-73.61701235175133
299,Chabot / de Bellechasse,16,2,19,45.5425697477813,-73.59214425086974
300,de Lanaudière / Bélanger,23,0,23,45.54365085053057,-73.60565051436424
301,Waverly / St-Zotique,17,2,19,45.53050525974957,-73.61470833420753
302,15e avenue / Masson,22,0,23,45.55389801568004,-73.5713866353035
303,Fabre / St-Zotique,15,3,19,45.543653916207866,-73.60126135876271
304,16e avenue / St-Joseph,5,16,23,45.55293611277267,-73.56577143073082
305,Boyer / Bélanger,15,5,23,45.54006,-73.60897
306,St-Urbain / Beaubien,12,3,15,45.52954744851231,-73.61071854829788
307,Marie-Anne / Papineau,20,2,23,45.53176697148175,-73.5724139213562
308,St-André / Robin,9,6,15,45.518128086513194,-73.56185138225555
309,Jeanne-Mance / Beaubien,8,6,15,45.527650097960205,-73.61229971051216
310,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),4,21,27,45.508204615051355,-73.56881439685822
311,Marquette / Rachel,10,5,15,45.52983801723605,-73.5703244805336
312,Wolfe / Robin,16,6,23,45.51958082831579,-73.5601159930229
313,Bourbonnière / du Mont-Royal,16,5,23,45.55358456339093,-73.56052905321121
314,Graham / Kindersley,11,12,23,45.514080696641386,-73.64694982767105
315,McCulloch / de la Côte Ste-Catherine,8,1,15,45.51577505385328,-73.60060930252075
316,26e avenue / Beaubien,9,3,15,45.56485589064712,-73.5774926841259
317,St-Christophe / René-Lévesque,14,5,19,45.5150280816668,-73.55635821819305
318,de Chambly / Rachel,22,1,23,45.54991069359101,-73.55826258659361
319,35e avenue / Beaubien,26,1,27,45.570081,-73.573047
320,Plymouth / Duncan,12,2,15,45.50316529501043,-73.66222634911537
321,de Bordeaux / Sherbrooke,15,3,19,45.529914321737415,-73.56302618980408
322,d'Orléans / Hochelaga,12,7,19,45.55061693669672,-73.54901432991028
323,Jeanne-d'Arc / Ontario,5,17,23,45.54959767887176,-73.54187428951263
324,41e avenue / Rosemont,15,4,19,45.57178977666956,-73.56431499123573
325,Parc de Beauséjour (Gouin / Henri-d'Arles),7,11,19,45.526765,-73.730423
