station_no,name,empty_slots,free_bikes,slots,latitude,longitude,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
209,de Mentana / Gilford,23,0,23,45.52866947969606,-73.58371809124947,4.071428571428571,25.0,7.0,,0.0,3.0
210,Henri-Julien / Laurier,22,1,23,45.52574657625029,-73.59033644199371,4.2,49.0,10.0,,,
211,Marquette / Laurier,3,22,27,45.53543,-73.5822,4.333333333333333,78.0,6.0,9.0,51.0,5.0
212,Milton / du Parc,16,14,31,45.50936142835129,-73.57386365532875,4.125,45.0,8.0,,,
213,Waverly / St-Viateur,13,6,19,45.5238561444472,-73.60012650489807,4.181818181818182,36.0,11.0,7.1,12.0,2.0
214,de Bordeaux / Gilford,12,6,19,45.53611005443118,-73.5762870311737,4.5,23.0,5.0,,,
215,de Bordeaux / Masson,15,2,19,45.53898439552301,-73.5824453830719,4.125,22.0,4.0,,,
216,Labadie / du Parc,13,2,19,45.5198946757576,-73.59682738780975,4.090909090909091,33.0,11.0,8.8,160.0,1.0
217,Fullum / Marie-Anne,21,2,23,45.53650541861215,-73.56803923845291,4.333333333333333,4.0,3.0,8.2,49.0,1.0
218,Parthenais / du Mont-Royal,13,1,15,45.53640396516409,-73.57141345739365,4.333333333333333,4.0,3.0,9.3,576.0,1.0
219,Clark / St-Viateur,9,6,15,45.5251943015533,-73.59935637563467,4.090909090909091,50.0,11.0,,,
220,Duluth  / St-Denis,4,10,15,45.52062760607925,-73.57594907283782,4.333333333333333,104.0,6.0,,,
221,Clark / Rachel,27,1,31,45.5173538,-73.58212888,4.166666666666667,53.0,9.0,9.5,258.0,1.0
222,Resther / du Mont-Royal,6,9,23,45.52562819123256,-73.58177483081818,4.125,128.0,12.0,,,
223,de Mentana / Marie-Anne,11,16,27,45.526026565221414,-73.57785880565643,4.142857142857143,98.0,7.0,,,
224,Hutchison / Prince-Arthur,1,29,31,45.50975858607626,-73.57610732316971,4.277777777777778,60.0,9.0,,0.0,1.0
225,du Mont-Royal / Clark,24,5,35,45.51941,-73.58685,4.277777777777778,30.0,9.0,8.0,131.0,1.0
226,Bernard / Jeanne-Mance,23,0,23,45.52428310031213,-73.6049484461546,4.055555555555555,17.0,9.0,7.6,16.0,1.0
