row_from_station,id,name,rating,review_count,latitude,longitude
431,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
431,sK3Rb2TyDZQBhwu5l3sezw,Place Jacques-Cartier,4.0,13,45.5109183239064,-73.5527801513672
431,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
431,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
431,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
431,sVRAov4IFK9vH_EF6qpnEw,Belvédère du Chemin-Qui-Marche,5.0,1,45.513191,-73.548732
432,Xy6DqZgEVVrNIJxGphkhmg,Parc de la Promenade Bellerive,4.0,1,45.603495,-73.509789
433,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
433,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
434,C8omhqzhieLXtqixxNYQpw,Parc Maisonneuve,4.5,7,45.5613319,-73.5547523
435,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
435,oeSBcrJ_2DkrLuPx3mKaWw,Parc Baldwin,5.0,2,45.5369098199692,-73.567233816121
437,GQpPwAKp_z7Xdh67rrCd3g,Parc la Fontaine,4.5,55,45.52705446977039,-73.56946468220876
437,NPDwfPWk_h2HK_I2IXbqkA,Parc Jeanne-Mance,4.0,14,45.51772,-73.58692
437,ctNVGh_5lE6oiu3GQhmd3Q,Square Saint-Louis,4.5,25,45.516898,-73.570043
437,cBoJ15PBegzOiL4obydb6g,Place des Fleurs-de-Macadam,5.0,1,45.52706,-73.57971
437,q1ZVPfzwY6mqDJBMIxjdqA,Parc des Amériques,4.0,5,45.51837580384327,-73.58178797791074
437,VjiZ0hf5u0DqpAa0UfCQOg,Parc du Portugal,4.0,4,45.52099,-73.58233
437,tDLM0PBHPztFPdA-1sWm1w,Parc des Compagnons de Saint-Laurent,3.0,1,45.533625426629,-73.5736899382844
438,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
438,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
441,ctNVGh_5lE6oiu3GQhmd3Q,Square Saint-Louis,4.5,25,45.516898,-73.570043
441,GQpPwAKp_z7Xdh67rrCd3g,Parc la Fontaine,4.5,55,45.52705446977039,-73.56946468220876
441,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
441,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
441,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
441,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
